Neighbourhood,Agincourt North,Agincourt South-Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Work,9,1,2,4,8,8
Shopping,10,1,3,3,7,9
Recreational place/park,7,1,4,2,9,7
"Place of worship (e.g. church, mosque)",0,1,0,0,2,5
Home,8,1,2,2,8,8
