Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
1 (most safest),6,0,2,2,2,1
2,3,2,0,0,0,1
3,1,1,0,2,0,0
4,1,0,0,0,0,1
5,0,0,0,1,0,1
6 (least safest),0,0,0,0,0,0
