Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Convenience,9,2,2,4,1,3
Cost,8,2,2,2,2,4
Personal health,9,0,1,5,2,4
Environmental reasons,4,3,2,4,2,3
[Fill in] Biking is often faster and more reliable than waiting for the bus or street car for short to medium distances.,1,0,0,0,0,0
[Fill in] Mental Health,0,0,1,0,0,0
