Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Convenience,8,1,2,4,9,5
Cost,4,0,0,0,0,2
Environmental reasons,1,0,0,1,0,0
[Fill in] Time - taking the TTC or biking would take too long,1,0,0,0,0,0
[Fill in] Distance travelled and number of items/passengers is high],0,0,0,1,0,0
[Fill in] To carry groceries. ,0,0,0,0,1,0
