Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
1 (most safest),4,2,0,1,0,0
2,3,0,0,1,1,1
3,1,0,2,2,1,1
4,2,1,0,1,0,1
5,1,0,0,0,0,1
6 (least safest),0,0,0,0,0,0
