Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Work,6,3,1,4,1,3
Shopping,8,3,2,2,1,4
Recreational place/park,9,3,2,3,2,3
"Place of worship (e.g. church, mosque)",2,2,0,1,0,2
Home,6,3,1,3,1,4
