Neighbourhood,Agincourt North,Agincourt South-Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
Work,5,1,2,4,5,3
Shopping,8,0,2,5,9,4
Recreational place/park,4,0,2,2,4,3
"Place of worship (e.g. church, mosque)",3,0,0,2,5,1
Home,4,0,2,2,7,3
