Neighbourhood,Agincourt North,Agincourt South Malvern West,Malvern West,Malvern East,Milliken,Morningside Heights
1 (most safest),0,1,0,0,0,1
2,1,1,0,0,0,1
3,2,0,0,1,0,1
4,1,1,1,1,2,1
5,1,0,0,1,0,0
6 (least safest),6,0,1,2,0,0
